text,label
Government approves new healthcare scheme for rural areas,real
Scientists discover new species in Amazon rainforest,real
Stock market closes at record high today,real
New education policy introduced by ministry,real
Heavy rainfall expected in coastal regions,real
Local elections results declared officially,real
New metro line inaugurated in city,real
University launches AI research center,real
Farmers receive subsidy under new policy,real
Tech company releases updated smartphone model,real
Parliament passes environmental protection bill,real
Sports team wins national championship,real
Court announces verdict in corruption case,real
Railway introduces faster express train,real
Medical researchers develop new vaccine,real
City police launch safety awareness campaign,real
Government announces tax reforms,real
Bank reduces interest rates on loans,real
Electric vehicle sales increase this year,real
Space agency successfully launches satellite,real
Aliens spotted walking in Mumbai streets,fake
Celebrity adopts 100 children secretly,fake
Scientists confirm Earth will go dark tomorrow,fake
New virus turns people into zombies,fake
Hidden treasure found under city mall,fake
Man becomes invisible after eating mango,fake
Secret tunnel discovered to another planet,fake
Government bans oxygen starting next week,fake
Actor reveals he is 200 years old,fake
Flying cars available for free tomorrow,fake
Magic cure for all diseases found in village,fake
Time travel machine invented by teenager,fake
Moon is actually made of cheese,fake
School replaces books with holograms overnight,fake
Fish rain predicted across entire country,fake
Humans can now breathe underwater naturally,fake
City replaced by duplicate overnight,fake
Government installs mind reading chips,fake
Dinosaurs found alive in forest,fake
Chocolate cures all heart problems instantly,fake
Prime minister resigns due to alien pressure,fake
Doctors recommend eating only ice cream daily,fake
Sun will not rise next week,fake
Invisible plane spotted over city,fake
Talking dog elected as mayor,fake
Water turns into gold in secret lab,fake
Secret society controls weather completely,fake
Earth declared flat by new research,fake
Teleportation service launched in metro,fake
Trees start walking after rainfall,fake
New railway station opened in Hyderabad,real
Government launches digital literacy mission,real
Scientists publish climate change report,real
Fuel prices reduced after review meeting,real
City hospital expands emergency ward,real
New startup creates job opportunities,real
International summit held in Delhi,real
Flood relief funds distributed to victims,real
Court strengthens cybercrime laws,real
Airline introduces new domestic routes,real
Public transport fares revised officially,real
New bridge constructed across river,real
Electric buses introduced in city,real
Agriculture exports increase this quarter,real
Police arrest gang involved in robbery,real
Vaccination drive expanded nationwide,real
New scholarship scheme for students,real
IT park inaugurated by chief minister,real
Water conservation campaign launched,real
International cricket tournament announced,real
Aliens build shopping mall in Chennai,fake
Government replaces currency with chocolate coins,fake
Sharks found swimming in city fountain,fake
Man survives without food for 5 years,fake
Earth spinning backwards this weekend,fake
Celebrity reveals secret superpowers,fake
Hidden city discovered under ocean,fake
Doctors confirm humans can photosynthesize,fake
Magic ring grants unlimited wishes,fake
Clouds made of cotton candy discovered,fake
Government secretly training dragons,fake
Robot wins presidential election,fake
People turning into stone randomly,fake
Cars will fly automatically next month,fake
Secret island appears near coast,fake
Man talks to plants fluently,fake
Invisible city discovered in desert,fake
Chocolate rains in northern states,fake
Moon disappears for 24 hours,fake
City replaced with hologram overnight,fake
